" 352.7635912","-2.382758E-03","     11933","8.6161006E+03","4.1896677E+00","1.2815076E+03","5.5271345E-01","1.0110465E+04","5.9112067E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01115","6.8895495E-04","  53.87187","6.9000031E-04","-9.0834446E-02","-2.2887263E-01"
" 352.7840240","-2.383471E-03","     11934","8.6217920E+03","4.1896796E+00","1.2810702E+03","5.5271620E-01","1.0118209E+04","5.9117866E+00","0000000000008192","NULL","NULL","NULL","NULL","  74.00994","6.8916037E-04","  53.87252","6.9017697E-04","-9.0875633E-02","-2.2853467E-01"
" 352.8044568","-2.384183E-03","     11935","8.6270703E+03","4.1896920E+00","1.2805353E+03","5.5271900E-01","1.0126168E+04","5.9097228E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01015","6.8803312E-04","  53.87297","6.8902184E-04","-9.1290772E-02","-2.2858833E-01"
" 352.8248898","-2.384895E-03","     11936","8.6190654E+03","4.1897035E+00","1.2835642E+03","5.5272180E-01","1.0114363E+04","5.9115734E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.00949","6.8921578E-04","  53.87156","6.9027737E-04","-9.1223426E-02","-2.2854435E-01"
" 352.8453227","-2.385606E-03","     11937","8.6236328E+03","4.1897154E+00","1.2827715E+03","5.5272454E-01","1.0120730E+04","5.9123812E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01059","6.8911532E-04","  53.87284","6.9010467E-04","-9.1470733E-02","-2.2849041E-01"
" 352.8657555","-2.386317E-03","     11938","8.6252871E+03","4.1897278E+00","1.2836797E+03","5.5272734E-01","1.0123427E+04","5.9091234E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01123","6.8943301E-04","  53.87218","6.9045037E-04","-9.1081813E-02","-2.2875306E-01"
" 352.8861885","-2.387028E-03","     11939","8.6262559E+03","4.1897435E+00","1.2807056E+03","5.5273068E-01","1.0124449E+04","5.9104466E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.00996","6.8914192E-04","  53.87249","6.9015042E-04","-9.1180809E-02","-2.2881724E-01"
" 352.9066214","-2.387739E-03","     11940","8.6296992E+03","4.1897597E+00","1.2818414E+03","5.5273408E-01","1.0129377E+04","5.9127498E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01091","6.8860094E-04","  53.87352","6.8955304E-04","-9.1145612E-02","-2.2832727E-01"
" 352.9270542","-2.388449E-03","     11941","8.6235381E+03","4.1897759E+00","1.2825863E+03","5.5273741E-01","1.0121101E+04","5.9113874E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01033","6.8861124E-04","  53.87307","6.8958965E-04","-9.0930931E-02","-2.2836919E-01"
" 352.9474872","-2.389159E-03","     11942","8.6320283E+03","4.1897922E+00","1.2831034E+03","5.5274075E-01","1.0132949E+04","5.9087834E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.00976","6.8824104E-04","  53.87234","6.8925845E-04","-9.0659112E-02","-2.2825128E-01"
" 352.9679201","-2.389868E-03","     11943","8.6292275E+03","4.1898079E+00","1.2842723E+03","5.5274415E-01","1.0128910E+04","5.9116821E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01039","6.8900792E-04","  53.87260","6.9001160E-04","-9.0798669E-02","-2.2781810E-01"
" 352.9883528","-2.390578E-03","     11944","NULL","NULL","NULL","NULL","NULL","NULL","0000000000000000","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","-7.5266914E+01","-5.5340313E+01"
" 353.0087857","-2.391287E-03","     11945","8.6293779E+03","4.1898403E+00","1.2849607E+03","5.5275083E-01","1.0129388E+04","5.9109325E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01129","6.8702671E-04","  53.87292","6.8800809E-04","-9.0680465E-02","-2.2802812E-01"
" 353.0292187","-2.391995E-03","     11946","8.6271738E+03","4.1898565E+00","1.2847065E+03","5.5275416E-01","1.0126740E+04","5.9104466E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01100","6.8909186E-04","  53.87398","6.9002621E-04","-9.0735123E-02","-2.2813220E-01"
" 353.0496516","-2.392704E-03","     11947","8.6264688E+03","4.1898727E+00","1.2839375E+03","5.5275750E-01","1.0125656E+04","5.9071155E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01105","6.8907643E-04","  53.87224","6.9009740E-04","-9.0741314E-02","-2.2794399E-01"
" 353.0700844","-2.393412E-03","     11948","8.6326279E+03","4.1898890E+00","1.2819297E+03","5.5276090E-01","1.0133720E+04","5.9110317E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.00935","6.8795460E-04","  53.87449","6.8887149E-04","-9.0995632E-02","-2.2744574E-01"
" 353.0905174","-2.394120E-03","     11949","8.6260254E+03","4.1899052E+00","1.2848821E+03","5.5276424E-01","1.0125184E+04","5.9121699E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.00974","6.8912399E-04","  53.87365","6.9008279E-04","-9.0472490E-02","-2.2774419E-01"
" 353.1109503","-2.394827E-03","     11950","8.6244551E+03","4.1899214E+00","1.2841750E+03","5.5276757E-01","1.0122434E+04","5.9045920E+00","0000000000000000","NULL","NULL","NULL","NULL","  74.01065","6.8864756E-04","  53.87289","6.8964012E-04","-8.9833312E-02","-2.2771099E-01"
